AIT101,AIT201,AIT301,AIT401,AIT501,AIT601,DPIT101,DPIT201,DPIT301,DPIT401,DPIT501,DPIT601,FIT101,FIT201,FIT301,FIT401,FIT501,FIT601,LIT101,LIT201,LIT301,LIT401,LIT501,LIT601,MV101,MV102,MV201,MV202,MV301,MV302,MV401,MV402,MV501,MV502,MV601,MV602,P101,P102,P201,P202,P301,P302,P401,P402,P501,P502,P601,P602,PIT101,PIT201,PIT301,Normal/Attack
36.90313,28.573765,40.540928,54.126896,62.552708,51.91863,72.06879,22.05942,26.173443,26.886818,56.65567,28.620125,35.151314,21.164639,63.60598,50.939835,20.630396,57.319504,70.75208,29.516918,43.5515,24.364532,77.13862,67.26164,17.407324,43.450745,60.450447,48.06415,17.093172,30.625786,25.739946,67.645615,22.839693,57.97226,31.2463,38.005196,38.759544,56.679348,82.58849,35.628216,76.81853,58.101177,48.958416,76.9429,79.508026,36.174843,39.45396,66.24169,26.723963,71.26608,66.854576,Normal
52.38047,30.615995,35.475075,52.63997,64.20417,55.69298,73.1179,32.23835,33.50875,28.174212,49.902084,34.19838,39.110226,27.45176,44.061028,49.995407,26.995943,51.534256,51.779827,25.070522,51.801224,14.629128,78.35609,52.01783,17.215363,54.50571,56.13546,66.9217,19.358654,34.32749,25.478409,66.011696,23.754465,61.57644,28.994478,29.303997,32.099487,54.970318,77.53957,30.834835,84.04633,58.801697,57.808678,79.97949,69.86096,37.43545,41.6251,68.06962,18.159489,76.514565,66.4275,Normal
34.256134,37.11433,41.2655,46.83996,53.287075,48.255714,77.15013,31.240326,33.870995,13.482502,55.021675,34.291664,31.89649,27.071873,66.297874,43.97087,13.774488,58.209583,67.84632,24.432777,46.999626,23.873377,74.20921,53.88083,25.536911,50.586033,59.12051,59.350605,24.428417,28.305578,31.254213,66.3597,28.225777,74.69266,33.03185,27.765087,48.803913,47.52037,70.91272,34.80746,72.23097,65.57794,59.965298,75.852684,72.74657,25.349611,40.53321,62.814804,19.868092,68.45791,55.52738,Normal
37.959484,34.2677,34.245876,53.944237,54.832905,50.97802,69.01675,33.00369,34.03487,24.270206,58.425117,24.066904,37.462852,24.253534,45.820686,53.415195,22.463753,60.810135,50.69054,29.347212,52.339657,21.059502,80.47641,59.884357,24.565563,46.38145,61.413754,61.831192,21.16792,23.942844,33.27905,56.5464,24.585798,68.60927,34.10593,39.99876,32.48639,61.478046,74.58394,26.687374,82.94045,67.02323,53.292023,83.380424,74.40424,39.590538,38.94122,63.406815,28.872345,64.09202,65.73761,Normal
43.793285,38.421562,39.43649,44.034027,59.216324,49.189404,73.58126,31.662333,35.64423,16.250546,51.03309,39.339333,41.09093,24.436193,53.20918,48.42546,29.463781,57.10791,56.752884,29.919838,42.88841,20.575268,74.73295,64.29339,26.573124,57.059105,61.781265,53.608112,16.879698,25.635416,25.704744,64.63569,25.113731,59.798874,27.66351,31.08031,46.599976,58.53815,81.39952,26.05885,72.45382,63.182228,44.354424,75.95421,71.4356,34.469097,40.78988,73.08495,20.508877,79.73305,59.968124,Normal
49.182575,26.154564,34.00665,54.29497,58.669815,52.481262,81.04685,23.683834,28.316954,17.571054,58.129826,26.174376,41.784195,27.045654,58.429707,46.95292,16.840221,51.087612,60.307247,22.629286,48.01143,26.443056,74.6204,53.057796,16.53435,55.710175,65.57086,56.123898,22.129015,11.129033,33.687656,53.65642,24.121466,73.60607,26.691067,30.196695,29.49028,44.028492,82.734924,34.16326,73.225655,65.005714,54.398483,72.57743,74.24736,32.291126,46.319885,65.516365,16.972713,68.004395,66.41148,Normal
47.814842,36.800205,35.294746,53.501194,54.042862,54.299774,76.00165,23.864136,24.506565,17.716936,53.552296,26.143978,41.551723,19.803806,56.459747,44.371513,13.106775,57.07985,71.19277,30.428856,41.954964,12.898133,80.14821,61.33897,14.881752,39.871532,60.734287,64.416466,7.7349105,18.851423,28.937387,58.76687,22.272913,73.92852,27.649004,29.003643,40.875164,46.854004,81.386055,36.413017,77.61587,68.31326,55.34798,80.80786,76.72758,36.00103,29.314287,72.7831,22.004467,76.1232,68.59453,Normal
38.401657,33.872097,34.568718,51.278973,65.9113,47.48016,71.488075,27.422075,33.577522,23.349092,57.156456,32.638397,43.985657,19.645367,59.91869,41.263397,32.84004,48.352715,62.94329,21.516474,50.750843,18.514414,72.05014,59.742447,20.695654,47.72889,58.412796,59.21849,19.423443,26.84052,31.25887,51.81204,21.498947,67.3062,26.990095,26.902006,46.681118,44.666008,83.52818,20.965847,77.4087,61.05944,55.561928,69.83376,75.52969,31.871227,31.78605,65.65951,35.175694,78.85461,66.886375,Normal
42.137386,34.439095,33.319927,63.285473,56.495228,54.78767,76.484245,23.161945,26.05964,16.656487,55.44055,40.72719,34.585335,26.901167,65.1055,48.11233,25.027775,50.43584,61.866657,29.89621,41.768734,24.736225,72.19513,58.22698,25.6211,50.606377,66.810844,63.230804,14.048467,14.6328,25.295452,59.429783,27.368721,70.95203,27.716265,24.624336,40.70443,55.793316,77.09263,25.503687,71.53157,58.48427,59.156178,71.1988,81.11358,35.71447,38.092094,65.74543,25.038527,66.225555,63.95145,Normal
44.025856,36.266853,36.96879,40.680325,54.134533,48.6361,74.97411,28.918104,33.182243,15.353905,49.899395,29.615288,37.700195,30.748884,55.338215,48.79463,22.149015,48.687595,70.265755,21.277735,44.65204,28.894167,74.70574,61.03246,26.747686,45.049065,59.41159,58.297752,15.143964,25.989494,23.807755,53.321964,27.915577,69.52524,27.961266,36.28974,31.192951,46.610413,73.85382,24.797518,83.1349,55.523163,70.231316,75.59285,84.9251,32.976616,37.821526,66.127785,28.432806,67.50665,62.813023,Normal
